species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,Torgersen,39.1,18.7,181,3750,male,2007
Adelie,Torgersen,39.5,17.4,186,3800,female,2007
Adelie,Torgersen,40.3,18.0,195,3250,female,2007
Adelie,Torgersen,36.7,19.3,193,3450,female,2007
Adelie,Torgersen,39.3,20.6,190,3650,male,2007
Adelie,Torgersen,38.9,17.8,181,3625,female,2007
Adelie,Torgersen,39.2,19.6,195,4675,male,2007
Adelie,Biscoe,37.8,18.3,174,3400,female,2007
Adelie,Biscoe,37.7,18.7,180,3600,male,2007
Adelie,Biscoe,35.9,19.2,189,3800,female,2007
Adelie,Biscoe,38.2,18.1,185,3950,male,2007
Adelie,Dream,37.2,18.1,178,3900,male,2007
Adelie,Dream,39.5,16.7,178,3250,female,2007
Adelie,Dream,40.9,18.9,184,3900,male,2007
Adelie,Dream,36.4,17.0,195,3325,female,2007
Adelie,Dream,39.2,21.1,196,4150,male,2007
Adelie,Dream,38.8,20.0,190,3950,male,2008
Adelie,Dream,42.2,18.5,180,3550,female,2008
Adelie,Dream,37.6,19.3,181,3300,female,2008
Adelie,Dream,39.8,19.1,184,4650,male,2008
Adelie,Biscoe,38.6,17.0,188,2900,female,2008
Adelie,Biscoe,37.7,18.7,180,3600,male,2008
Adelie,Biscoe,38.2,18.1,185,3950,male,2008
Adelie,Biscoe,38.1,17.0,181,3175,female,2008
Adelie,Torgersen,42.5,20.7,197,4500,male,2008
Adelie,Torgersen,39.7,17.9,193,4250,male,2009
Adelie,Torgersen,42.5,18.4,196,3900,male,2009
Adelie,Torgersen,40.6,19.0,199,4000,male,2009
Adelie,Torgersen,38.6,21.2,191,3800,male,2009
Adelie,Torgersen,37.0,16.9,185,3000,female,2009
Chinstrap,Dream,46.5,17.9,192,3500,female,2007
Chinstrap,Dream,50.0,19.5,196,3900,male,2007
Chinstrap,Dream,51.3,19.2,193,3650,male,2007
Chinstrap,Dream,45.4,18.7,188,3525,female,2007
Chinstrap,Dream,52.7,19.8,197,3725,male,2007
Chinstrap,Dream,45.2,17.8,198,3950,female,2007
Chinstrap,Dream,46.1,18.2,178,3250,female,2007
Chinstrap,Dream,51.3,18.2,197,3750,male,2008
Chinstrap,Dream,46.0,18.9,195,4150,female,2008
Chinstrap,Dream,51.3,19.9,198,3700,male,2008
Chinstrap,Dream,46.6,17.8,193,3800,female,2008
Chinstrap,Dream,51.7,20.3,194,3775,male,2009
Chinstrap,Dream,47.0,17.3,185,3700,female,2009
Chinstrap,Dream,52.0,18.1,201,4050,male,2009
Chinstrap,Dream,45.9,17.1,190,3575,female,2009
Gentoo,Biscoe,46.1,13.2,211,4500,female,2007
Gentoo,Biscoe,50.0,16.3,230,5700,male,2007
Gentoo,Biscoe,48.7,14.1,210,4450,female,2007
Gentoo,Biscoe,50.0,15.2,218,5700,male,2007
Gentoo,Biscoe,47.6,14.5,215,5400,male,2007
Gentoo,Biscoe,46.5,13.5,210,4550,female,2008
Gentoo,Biscoe,45.4,14.6,211,4800,female,2008
Gentoo,Biscoe,50.0,15.9,224,5350,male,2008
Gentoo,Biscoe,43.3,13.4,209,4400,female,2008
Gentoo,Biscoe,50.5,15.9,225,5400,male,2008
Gentoo,Biscoe,49.2,15.2,221,6300,male,2008
Gentoo,Biscoe,48.6,16.0,230,5800,male,2009
Gentoo,Biscoe,42.8,14.2,209,4700,female,2009
Gentoo,Biscoe,47.5,14.0,212,4875,female,2009
Gentoo,Biscoe,49.6,15.0,216,4750,male,2009
Gentoo,Biscoe,46.5,14.5,213,4400,female,2009
